camera,timestamp,x,y,zone
CAM 1,2.6693333333333333,1878,681,Entrance
CAM 1,2.6693333333333333,1712,672,Entrance
CAM 1,2.6693333333333333,1665,670,Entrance
CAM 1,2.6693333333333333,600,677,Entrance
CAM 1,2.6693333333333333,32,661,Entrance
CAM 1,2.6693333333333333,1883,645,Entrance
CAM 1,2.6693333333333333,242,663,Entrance
CAM 1,2.6693333333333333,700,537,Entrance
CAM 1,2.6693333333333333,1384,524,Entrance
CAM 1,2.6693333333333333,1234,511,Entrance
CAM 1,2.6693333333333333,1318,505,Entrance
CAM 1,2.6693333333333333,1819,508,Entrance
CAM 1,2.6693333333333333,321,507,Entrance
CAM 1,2.6693333333333333,648,487,Entrance
CAM 1,2.6693333333333333,1742,496,Entrance
CAM 1,2.6693333333333333,1053,699,Entrance
CAM 1,2.6693333333333333,1870,491,Entrance
CAM 1,2.6693333333333333,1602,512,Entrance
CAM 1,2.6693333333333333,60,459,Entrance
CAM 1,2.6693333333333333,1454,512,Entrance
CAM 1,2.6693333333333333,1568,465,Entrance
CAM 1,2.6693333333333333,1447,407,Entrance
CAM 1,2.6693333333333333,1496,380,Entrance
CAM 1,2.6693333333333333,279,348,Entrance
CAM 1,2.6693333333333333,1227,349,Entrance
CAM 1,2.6693333333333333,1638,351,Entrance
CAM 1,2.6693333333333333,598,339,Entrance
CAM 1,2.6693333333333333,401,324,Entrance
CAM 1,2.6693333333333333,1836,342,Entrance
CAM 1,2.6693333333333333,907,319,Entrance
CAM 1,2.6693333333333333,1228,292,Entrance
CAM 1,2.6693333333333333,1447,324,Entrance
CAM 1,2.6693333333333333,1673,283,Entrance
CAM 1,2.6693333333333333,1739,180,Entrance
CAM 1,2.6693333333333333,1222,169,Entrance
CAM 1,2.6693333333333333,1822,86,Entrance
CAM 1,2.6693333333333333,1240,20,Entrance
CAM 1,2.8361666666666667,1889,1037,Entrance
CAM 1,2.8361666666666667,1805,995,Entrance
CAM 1,2.8361666666666667,1656,1001,Entrance
CAM 1,2.8361666666666667,447,992,Entrance
CAM 1,2.8361666666666667,1597,852,Entrance
CAM 1,2.8361666666666667,14,838,Entrance
CAM 1,2.8361666666666667,1512,838,Entrance
CAM 1,2.8361666666666667,1848,833,Entrance
CAM 1,2.8361666666666667,74,825,Entrance
CAM 1,2.8361666666666667,157,807,Entrance
CAM 1,2.8361666666666667,469,835,Entrance
CAM 1,2.8361666666666667,1339,825,Entrance
CAM 1,2.8361666666666667,1278,749,Entrance
CAM 1,2.8361666666666667,488,693,Entrance
CAM 1,2.8361666666666667,445,690,Entrance
CAM 1,2.8361666666666667,1879,679,Entrance
CAM 1,2.8361666666666667,1667,669,Entrance
CAM 1,2.8361666666666667,616,674,Entrance
CAM 1,2.8361666666666667,31,659,Entrance
CAM 1,2.8361666666666667,1884,642,Entrance
CAM 1,2.8361666666666667,265,657,Entrance
CAM 1,2.8361666666666667,1387,523,Entrance
CAM 1,2.8361666666666667,767,525,Entrance
CAM 1,2.8361666666666667,1247,510,Entrance
CAM 1,2.8361666666666667,1318,505,Entrance
CAM 1,2.8361666666666667,1454,535,Entrance
CAM 1,2.8361666666666667,323,502,Entrance
CAM 1,2.8361666666666667,1743,487,Entrance
CAM 1,2.8361666666666667,649,483,Entrance
CAM 1,2.8361666666666667,1048,698,Entrance
CAM 1,2.8361666666666667,1245,463,Entrance
